Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
327148,676507,Yes ,2.2,2008,45.3
327137,676529,Yes ,2.1,2008,48
327192,676513,Yes ,2.2,2008,41.3
327135,676515,Yes ,2.1,2008,53.4
327009,676565,Yes ,2.47,2008,38.6
326879,676626,Yes ,2.6,2008,40.4
326430,676754,Yes ,1.47,2008, 
324946,676070,No ,1.65,2008, 
324726,676004,Yes ,1.75 +2.85b ,2008, 
326359,676420,No ,7.5,2008,35.3
326136,676361,No ,3.7,2008,39.6
326503,674436,Yes ,3.1,2008,42.4
326740,676138,Yes ,2.9,2008,38.4
326925,675949,Yes ,2.8,2008,50.2
326845,676015,Yes ,2.7,2008,43.1
326884,675997,Yes ,2.8,2008,44.6
326757,676144,Yes ,2.8,2008,39
324638,675993,Yes ,4.65,2008, 
324686,675941,Yes ,2.28 + 2.0b ,2008, 
326455,676805,No ,4.2,2008, 
327476,676418,No ,2.25,2008, 
327665,676331,No ,1.8,2008, 
324896,676991,No ,2,2008,28.3
329997,674274,No ,2.0 + 2.1b ,2008,24.6
327231,671782,No ,1.8,2008,31.8
326934,674503,Yes ,2.3,2008,58.2
326950,674624,Yes ,3.3,2008,44.9
326958,674770,Yes ,3.25,2008,43.8
326974,674780,Yes ,2.8,2008,40.8
326999,674940,Yes ,3.95,2008,37.3
327010,675149,No ,2.8,2008,35
327071,675467,No ,3,2008,33.4
326980,674446,Yes ,2.5,2008, 
327190,674433,Yes ,2.7,2008, 
328049,674174,Yes ,2.7,2008, 
328272,674143,Yes ,2.62,2008, 
328337,674129,Yes ,4.6,2008, 
327468,674362,Yes ,2.04 + 2.0b ,2008, 
326944,674472,Yes ,5.6,2008,52.3
328889,671649,No ,0.2 + 2.4b ,2008,26.9
328771,674190,No ,4.0 + 2.1b ,2008, 
330242,674162,No ,3.8,2008, 
330830,673726,No ,2.3,2008, 
330366,674057,No ,3.1,2008, 
330533,673850,No ,3,2008, 
329923,674389,No ,2.8,2008, 
329993,674457,No ,4.5,2008, 
325513,675134,No ,2,2008,40.4
325855,674527,No ,4.5,2008,37.7
324603,674555,No ,0.6 + 2.1b ,2008,32.3
325243,674400,No ,0.3 + 2.1b ,2008,28.9
324880,673891,Yes ,6.8,2008, 
